calc type,count
PLEOMORPHIC,664
AMORPHOUS,138
PUNCTATE,106
LUCENT_CENTER,93
VASCULAR,82
FINE_LINEAR_BRANCHING,77
COARSE,35
ROUND_AND_REGULAR-LUCENT_CENTER,31
PLEOMORPHIC-FINE_LINEAR_BRANCHING,28
ROUND_AND_REGULAR-LUCENT_CENTER-PUNCTATE,24
ROUND_AND_REGULAR-EGGSHELL,23
PUNCTATE-PLEOMORPHIC,21
DYSTROPHIC,20
LUCENT_CENTERED,18
ROUND_AND_REGULAR,17
ROUND_AND_REGULAR-LUCENT_CENTERED,14
AMORPHOUS-PLEOMORPHIC,12
LARGE_RODLIKE-ROUND_AND_REGULAR,11
COARSE-ROUND_AND_REGULAR-LUCENT_CENTER,10
PUNCTATE-AMORPHOUS,10
LUCENT_CENTER-PUNCTATE,8
VASCULAR-COARSE-LUCENT_CENTERED,8
ROUND_AND_REGULAR-PLEOMORPHIC,7
EGGSHELL,7
VASCULAR-COARSE,6
PUNCTATE-FINE_LINEAR_BRANCHING,6
ROUND_AND_REGULAR-PUNCTATE,5
PUNCTATE-ROUND_AND_REGULAR,4
LARGE_RODLIKE,4
SKIN-PUNCTATE,4
SKIN-PUNCTATE-ROUND_AND_REGULAR,4
COARSE-ROUND_AND_REGULAR-LUCENT_CENTERED,4
PUNCTATE-LUCENT_CENTER,3
AMORPHOUS-ROUND_AND_REGULAR,3
ROUND_AND_REGULAR-LUCENT_CENTER-DYSTROPHIC,2
VASCULAR-COARSE-LUCENT_CENTER-ROUND_AND_REGULAR-PUNCTATE,2
COARSE-ROUND_AND_REGULAR,2
SKIN,2
COARSE-PLEOMORPHIC,2
MILK_OF_CALCIUM,2
ROUND_AND_REGULAR-PUNCTATE-AMORPHOUS,2
COARSE-LUCENT_CENTER,2
ROUND_AND_REGULAR-AMORPHOUS,1
PLEOMORPHIC-PLEOMORPHIC,1
SKIN-COARSE-ROUND_AND_REGULAR,1
